FID,Join_Count,TARGET_FID,Id,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,pid,Lon,Lat
209,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5770079,31.29875022
210,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.574661,31.29738367
211,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5759206,31.29254493
212,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5782808,31.28818753
213,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5753318,31.32833325
214,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5860152,31.334616
215,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5810788,31.33416623
216,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5765084,31.33231512
217,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5836121,31.3264717
218,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5786344,31.3267559
219,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5759338,31.3260753
220,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5805271,31.32415167
221,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.58834,31.29339079
222,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5839695,31.29119272
223,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5801445,31.28797761
224,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5798685,31.28650283
225,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5833324,31.282897
226,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5867743,31.27927175
227,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5846809,31.32541409
228,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5845597,31.31936813
229,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5940274,31.32836665
230,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5891278,31.32737133
231,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5855737,31.34612893
232,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5903571,31.34104408
233,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5944631,31.31588111
234,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5894867,31.31545096
235,0,0,0,0,0,residential,,,B,0,0,F,F,1,120.5860974,31.31152372
